,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Synset('incrimination.n.01'),Synset('blame.n.02'),Synset('blame.v.01'),Synset('blame.v.02'),Synset('blame.v.03'),Synset('blasted.s.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Synset('boldface.n.01'),Synset('bold.a.01'),Synset('bold.s.02'),Synset('bluff.s.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Synset('bookshelf.n.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Synset('boundary.n.02'),Synset('boundary.n.01'),Synset('limit.n.01'),Synset('leap.n.01'),Synset('jump.v.01'),Synset('bound.v.02'),Synset('restrict.v.03'),Synset('bounce.v.01'),Synset('adhere.v.06'),Synset('bind.v.02'),Synset('bind.v.03'),Synset('bind.v.04'),Synset('tie_down.v.01'),Synset('oblige.v.02'),Synset('bind.v.07'),Synset('tie.v.01'),Synset('bind.v.09'),Synset('constipate.v.02'),Synset('bound.a.01'),Synset('bound.a.02'),Synset('bound.a.03'),Synset('bound.s.04'),Synset('bandaged.s.01'),Synset('bound.s.06'),Synset('bound.s.07'),Synset('apprenticed.s.01'),Synset('bound.s.09'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Synset('boundless.s.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Synset('brilliant.s.01'),Synset('brainy.s.01'),Synset('brilliant.s.03'),Synset('bright.s.02'),Synset('brilliant.s.05'),Synset('bright.s.08'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Synset('broad.n.01'),Synset('wide.a.01'),Synset('across-the-board.s.01'),Synset('broad.s.03'),Synset('broad.s.04'),Synset('broad.s.05'),Synset('broad.s.06'),Synset('broad.s.07'),Synset('broad.s.08'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Synset('barbarous.s.01'),Synset('brutal.s.02'),Synset('beastly.s.02'),Synset('brutal.s.04'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Synset('buddhist.n.01'),Synset('buddhist.a.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Synset('buddhist.n.01'),Synset('buddhist.a.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
